sectors ABAD0003 on ch 19,ABAC0001 on ch 19, cost =0.048
sectors ABAD0003 on ch 11,ABAC0001 on ch 11, cost =0.048
sectors ABAD0003 on ch 74,ABAC0001 on ch 74, cost =0.048
sectors ABAD0003 on ch 43,ABAC0001 on ch 43, cost =0.048
sectors ABAD0003 on ch **,ABAC0002 on ch **, cost =0.725
sectors ABAD0003 on ch 64,ABAC0002 on ch 64, cost =0.725
sectors ABAD0003 on ch 54,ABAC0002 on ch 54, cost =0.725
sectors ABAC0001 on ch 37,ABAA0001 on ch 37, cost =0.033
sectors ABAC0001 on ch 19,ABAA0001 on ch 19, cost =0.033
sectors ABAC0001 on ch 67,ABAA0002 on ch 67, cost =0.118
sectors ABAC0001 on ch **,ABAA0002 on ch **, cost =0.118
sectors ABAC0001 on ch 81,ABAA0002 on ch 81, cost =0.118
sectors ABAC0001 on ch 26,ABAA0002 on ch 26, cost =0.118
sectors ABAC0001 on ch 11,ABAD0003 on ch 11, cost =0.558
sectors ABAC0001 on ch 74,ABAD0003 on ch 74, cost =0.558
sectors ABAC0001 on ch 43,ABAD0003 on ch 43, cost =0.558
sectors ABAC0001 on ch 19,ABAD0003 on ch 19, cost =0.558
sectors ABAC0002 on ch 78,ABAA0001 on ch 78, cost =0.100
sectors ABAC0002 on ch 83,ABAA0001 on ch 83, cost =0.100
sectors ABAC0002 on ch **,ABAA0001 on ch **, cost =0.100
sectors ABAC0002 on ch  9,ABAA0002 on ch  9, cost =0.170
sectors ABAC0002 on ch 16,ABAB0003 on ch 16, cost =0.002
sectors ABAC0002 on ch **,ABAD0001 on ch **, cost =0.753
sectors ABAC0002 on ch 54,ABAD0003 on ch 54, cost =0.548
sectors ABAC0002 on ch 64,ABAD0003 on ch 64, cost =0.548
sectors ABAC0002 on ch **,ABAD0003 on ch **, cost =0.548
sectors ABAC0003 on ch 88,ABAA0001 on ch 88, cost =0.025
sectors ABAC0003 on ch **,ABAA0001 on ch **, cost =0.025
sectors ABAC0003 on ch 59,ABAA0001 on ch 59, cost =0.025
sectors ABAC0003 on ch 33,ABAA0002 on ch 33, cost =0.355
sectors ABAC0003 on ch 47,ABAA0002 on ch 47, cost =0.355
sectors ABAC0003 on ch **,ABAA0002 on ch **, cost =0.355
sectors ABAC0003 on ch 33,ABAD0001 on ch 33, cost =0.260
sectors ABAC0003 on ch  6,ABAD0001 on ch  6, cost =0.260
sectors ABAC0003 on ch 47,ABAD0001 on ch 47, cost =0.260
sectors ABAC0003 on ch 40,ABAD0001 on ch 40, cost =0.260
sectors ABAC0003 on ch 98,ABAD0001 on ch 98, cost =0.260
  total cost =   14.70400    
