EDX cell sector AFP compatibility matrix
   55   13.00    1.00    1.76    1.00
ABAF0001    44.58   587.83    17.24    4    4    0    1
    2   26   98  122
     ABAF0001   0.0
     ABAF0002  25.3
     ABAI0001  36.4
     ABAI0002  32.4
     ABAE0001  11.4
     ABAE0002   7.1
     ABAC0001   5.6
     ABAC0002  35.4
     ABAC0003   6.7
     ABAO0001   0.0
     ABAO0002   0.0
     ABAV0001   0.0
     ABAU0001   2.8
     ABAU0002   6.1
     ABAQ0001  30.9
     ABAQ0002   2.6
     ABAM0001   0.1
     ABAS0001   0.3
     ABAS0002   5.5
     ABBB0001   0.0
     ABBB0002   0.0
     ABAZ0001   6.0
     ABAT0001   0.3
     ABAT0002   7.9
     ABAR0001   0.2
     ABAJ0001   1.1
     ABAJ0002   0.9
     ABAL0001   0.0
     ABAY0001   0.2
     ABAY0002   0.0
     ABAY0003   0.8
     ABBF0001   2.4
     ABAB0001   2.8
     ABAB0002   0.3
     ABAB0003   0.0
     ABAD0001   0.4
     ABAD0003  27.2
     ABAD0002   0.0
     ABAX0001  28.6
     ABBD0002   0.2
     ABAP0001   0.0
     ABAP0002   0.0
     ABAN0002  12.6
     ABAN0003   0.0
     ABBA0001   0.0
     ABBA0002   0.2
     ABAK0001   0.0
     ABAG0001   0.0
     ABAH0001   0.0
     ABAH0002   0.0
     ABBE0001  24.5
     ABAA0002   0.3
     ABBC0001   0.0
     ABBC0002   0.0
     ABAW0001   1.2
ABAF0002    55.74   102.99     3.02    2    2    0    0
    9  102
     ABAF0001  23.8
     ABAF0002   0.0
     ABAI0001   0.1
     ABAI0002  53.4
     ABAE0001   0.2
     ABAE0002   1.1
     ABAC0001   0.0
     ABAC0002   2.9
     ABAC0003   0.2
     ABAO0001   0.3
     ABAO0002   0.1
     ABAV0001   0.8
     ABAU0001   4.5
     ABAU0002  37.8
     ABAQ0001  11.6
     ABAQ0002  17.3
     ABAM0001   0.1
     ABAS0001   0.0
     ABAS0002   0.7
     ABBB0001   0.1
     ABBB0002   0.0
     ABAZ0001  27.8
     ABAT0001   0.0
     ABAT0002   3.0
     ABAR0001   0.4
     ABAJ0001   5.3
     ABAJ0002   0.1
     ABAL0001   0.0
     ABAY0001   0.5
     ABAY0002   0.2
     ABAY0003   1.7
     ABBF0001   0.1
     ABAB0001  27.4
     ABAB0002  19.7
     ABAB0003   2.8
     ABAD0001  22.2
     ABAD0003  22.4
     ABAD0002   2.0
     ABAX0001  26.3
     ABBD0002   1.6
     ABAP0001   0.2
     ABAP0002   0.1
     ABAN0002  22.3
     ABAN0003   3.4
     ABBA0001   0.0
     ABBA0002   0.0
     ABAK0001   0.0
     ABAG0001   0.0
     ABAH0001   0.0
     ABAH0002   0.1
     ABBE0001   8.7
     ABAA0002   1.4
     ABBC0001   0.1
     ABBC0002   0.0
     ABAW0001   5.1
ABAI0001    26.40   664.64    19.50    4    4    0    1
   11   35   59   83
     ABAF0001  64.0
     ABAF0002   0.0
     ABAI0001   0.0
     ABAI0002  55.6
     ABAE0001  54.5
     ABAE0002   8.6
     ABAC0001  22.4
     ABAC0002   9.6
     ABAC0003   3.4
     ABAO0001   0.0
     ABAO0002   0.0
     ABAV0001   0.0
     ABAU0001   5.1
     ABAU0002  12.2
     ABAQ0001  13.8
     ABAQ0002   0.0
     ABAM0001   0.0
     ABAS0001   0.2
     ABAS0002  29.2
     ABBB0001   0.0
     ABBB0002   0.0
     ABAZ0001   2.0
     ABAT0001   0.3
     ABAT0002  19.8
     ABAR0001   0.1
     ABAJ0001   1.0
     ABAJ0002   3.1
     ABAL0001   0.0
     ABAY0001   0.0
     ABAY0002   0.0
     ABAY0003   0.2
     ABBF0001   5.6
     ABAB0001   4.7
     ABAB0002   0.2
     ABAB0003   0.0
     ABAD0001   0.3
     ABAD0003   9.3
     ABAD0002   0.0
     ABAX0001  16.3
     ABBD0002   0.0
     ABAP0001   0.0
     ABAP0002   0.0
     ABAN0002  21.4
     ABAN0003   0.0
     ABBA0001   0.0
     ABBA0002   0.3
     ABAK0001   0.0
     ABAG0001   0.0
     ABAH0001   0.0
     ABAH0002   0.2
     ABBE0001   2.5
     ABAA0002   0.3
     ABBC0001   0.0
     ABBC0002   0.0
     ABAW0001   2.4
ABAI0002   137.58   345.14    10.12    3    3    0    0
   30   37   64
     ABAF0001  19.0
     ABAF0002  18.2
     ABAI0001   4.9
     ABAI0002   0.0
     ABAE0001   3.5
     ABAE0002   0.1
